guid,true_label,pred_label,true_label_id,pred_label_id,text_weight,image_weight
563,positive,negative,2,0,0.5305691957473755,0.4694307744503021
4488,negative,positive,0,2,0.525675356388092,0.47432464361190796
1053,positive,neutral,2,1,0.5197771191596985,0.4802228808403015
2432,positive,neutral,2,1,0.5251696109771729,0.47483038902282715
1781,neutral,positive,1,2,0.5142737030982971,0.4857262969017029
4076,negative,positive,0,2,0.5239569544792175,0.47604304552078247
768,negative,positive,0,2,0.5205287933349609,0.47947123646736145
531,neutral,positive,1,2,0.5203502178192139,0.47964975237846375
891,positive,neutral,2,1,0.5147597789764404,0.48524022102355957
39,neutral,positive,1,2,0.5285162925720215,0.4714837074279785
4994,negative,positive,0,2,0.5278216004371643,0.4721783995628357
1310,neutral,positive,1,2,0.5219393968582153,0.47806060314178467
1785,negative,positive,0,2,0.520004391670227,0.47999563813209534
5105,negative,positive,0,2,0.5171867609024048,0.4828132092952728
4047,neutral,positive,1,2,0.5224117636680603,0.4775882363319397
3013,positive,negative,2,0,0.5256415605545044,0.4743584394454956
140,neutral,positive,1,2,0.5187950730323792,0.48120492696762085
4217,positive,negative,2,0,0.5193153619766235,0.48068466782569885
2594,positive,neutral,2,1,0.5231575965881348,0.47684240341186523
1510,negative,positive,0,2,0.5189070701599121,0.4810929596424103
2741,negative,positive,0,2,0.521397054195404,0.47860294580459595
3952,negative,positive,0,2,0.5215672254562378,0.4784327447414398
5068,negative,positive,0,2,0.5228066444396973,0.47719332575798035
1742,positive,negative,2,0,0.5239425897598267,0.4760574400424957
2447,neutral,negative,1,0,0.517249345779419,0.48275062441825867
3409,positive,neutral,2,1,0.5213514566421509,0.47864851355552673
1947,negative,positive,0,2,0.5236213207244873,0.4763787090778351
3958,negative,positive,0,2,0.5217950344085693,0.4782049357891083
745,positive,negative,2,0,0.5238328576087952,0.47616714239120483
3513,negative,positive,0,2,0.5213122367858887,0.4786877930164337
898,positive,negative,2,0,0.5166604518890381,0.4833395779132843
2552,neutral,negative,1,0,0.521670401096344,0.478329598903656
180,neutral,positive,1,2,0.5190403461456299,0.4809596538543701
999,neutral,positive,1,2,0.5150488018989563,0.4849511981010437
2705,neutral,positive,1,2,0.5256390571594238,0.4743609130382538
1928,negative,positive,0,2,0.5230449438095093,0.4769550859928131
5104,positive,negative,2,0,0.5185362696647644,0.4814637303352356
307,positive,neutral,2,1,0.5221808552742004,0.47781914472579956
4716,negative,positive,0,2,0.5208455920219421,0.47915440797805786
2615,neutral,negative,1,0,0.5168576240539551,0.4831423759460449
3581,negative,positive,0,2,0.5268632173538208,0.4731367826461792
2584,negative,positive,0,2,0.522661566734314,0.47733843326568604
4732,positive,negative,2,0,0.5211365222930908,0.4788634777069092
542,negative,positive,0,2,0.5213416814804077,0.4786582887172699
2742,negative,positive,0,2,0.5266113877296448,0.4733886122703552
4775,positive,negative,2,0,0.5163092613220215,0.4836907386779785
580,neutral,positive,1,2,0.5132303237915039,0.4867696762084961
3319,positive,neutral,2,1,0.5247822999954224,0.47521767020225525
4192,positive,negative,2,0,0.5225297212600708,0.4774702489376068
694,positive,negative,2,0,0.5202524662017822,0.47974756360054016
1042,neutral,negative,1,0,0.5188858509063721,0.48111414909362793
878,positive,negative,2,0,0.5127705335617065,0.48722943663597107
433,neutral,negative,1,0,0.519489049911499,0.4805109202861786
1418,negative,positive,0,2,0.5153141021728516,0.48468589782714844
2013,negative,positive,0,2,0.520179271697998,0.47982072830200195
3163,neutral,positive,1,2,0.5241559743881226,0.47584405541419983
2928,positive,neutral,2,1,0.515676736831665,0.48432326316833496
14,positive,neutral,2,1,0.5157873630523682,0.48421263694763184
1854,negative,positive,0,2,0.5237183570861816,0.47628167271614075
4472,negative,positive,0,2,0.5246415138244629,0.4753585159778595
2865,negative,positive,0,2,0.5209506750106812,0.47904932498931885
711,positive,negative,2,0,0.5230119228363037,0.4769880771636963
2005,neutral,negative,1,0,0.5253558158874512,0.47464418411254883
3091,positive,neutral,2,1,0.5238405466079712,0.4761594533920288
788,neutral,positive,1,2,0.5207189917564392,0.4792810082435608
3689,neutral,positive,1,2,0.52839195728302,0.47160807251930237
1833,positive,negative,2,0,0.5230528116226196,0.47694718837738037
4081,positive,negative,2,0,0.5194094181060791,0.4805905520915985
110,negative,positive,0,2,0.5203269720077515,0.47967302799224854
2739,positive,negative,2,0,0.5212281942367554,0.478771835565567
1810,positive,negative,2,0,0.5241439342498779,0.47585609555244446
3256,negative,positive,0,2,0.520544171333313,0.479455828666687
2707,positive,negative,2,0,0.5249261856079102,0.47507378458976746
2389,neutral,positive,1,2,0.521838903427124,0.4781610667705536
870,neutral,positive,1,2,0.5180299282073975,0.48197007179260254
807,positive,neutral,2,1,0.5161660313606262,0.4838339686393738
2086,positive,negative,2,0,0.5212467908859253,0.4787531793117523
