epoch,train_loss,val_loss,accuracy,macro_f1,weighted_f1
1,0.8136600399017334,0.6664898702502251,0.7462,0.6012,0.7291
2,0.660340176820755,0.6394177111983299,0.7362,0.5496,0.7098
3,0.6014449298381805,0.6179926483333111,0.7375,0.5672,0.7115
4,0.5358712393045425,0.6123652806133032,0.7388,0.5753,0.7154
5,0.48872268676757813,0.6159656997025013,0.745,0.6029,0.7287
6,0.42465053021907806,0.6300336146354675,0.7412,0.5981,0.7228
7,0.363846882134676,0.6354616725072265,0.74,0.6417,0.7389
8,0.3136156058311462,0.6442721898294985,0.7475,0.6415,0.7413
9,0.25775047786533833,0.6771569549664855,0.7412,0.6194,0.7292
10,0.21221639711409807,0.6779952884092927,0.7425,0.6286,0.7343
11,0.17276407860219478,0.7008333439007401,0.7475,0.64,0.7413
12,0.1488051149621606,0.7180520376376808,0.74,0.641,0.7384
13,0.10955771911889314,0.7468250659760087,0.7512,0.6125,0.7356
