guid,true_label,pred_label,true_label_id,pred_label_id,text_weight,image_weight
563,positive,neutral,2,1,0.5337340235710144,0.4662659764289856
4488,negative,positive,0,2,0.5250371694564819,0.4749628007411957
2432,positive,neutral,2,1,0.5206969976425171,0.4793030023574829
1781,neutral,positive,1,2,0.5303964614868164,0.4696035087108612
4076,negative,positive,0,2,0.5222654342651367,0.4777345657348633
531,neutral,positive,1,2,0.5281182527542114,0.4718817472457886
2576,positive,neutral,2,1,0.5251498222351074,0.47485020756721497
2166,positive,negative,2,0,0.5305359959602356,0.4694640040397644
891,positive,negative,2,0,0.5289723873138428,0.4710276126861572
39,neutral,positive,1,2,0.5221602320671082,0.47783976793289185
4994,negative,positive,0,2,0.5122184157371521,0.4877815842628479
979,positive,negative,2,0,0.5333691835403442,0.46663081645965576
1310,neutral,positive,1,2,0.5261165499687195,0.4738834500312805
4967,positive,neutral,2,1,0.5155994296073914,0.48440057039260864
559,negative,positive,0,2,0.5263174176216125,0.47368258237838745
1959,negative,positive,0,2,0.528864860534668,0.4711351692676544
4047,neutral,negative,1,0,0.5291414856910706,0.47085851430892944
4007,negative,positive,0,2,0.5314911603927612,0.46850886940956116
140,neutral,positive,1,2,0.5311753749847412,0.4688245952129364
4217,positive,negative,2,0,0.5261121988296509,0.47388777136802673
2594,positive,neutral,2,1,0.5278894305229187,0.4721105694770813
1510,negative,positive,0,2,0.5292474031448364,0.4707525968551636
1706,positive,negative,2,0,0.5281995534896851,0.47180044651031494
3896,positive,neutral,2,1,0.5256969928741455,0.4743029773235321
3409,positive,negative,2,0,0.5345275402069092,0.46547242999076843
745,positive,negative,2,0,0.529685378074646,0.4703145921230316
3513,negative,positive,0,2,0.5289509296417236,0.47104910016059875
3366,positive,negative,2,0,0.5278983116149902,0.4721016585826874
2552,neutral,negative,1,0,0.528139054775238,0.47186094522476196
180,neutral,positive,1,2,0.5318948030471802,0.4681051969528198
3625,negative,neutral,0,1,0.51915442943573,0.48084557056427
999,neutral,positive,1,2,0.5325459241867065,0.46745404601097107
3825,negative,positive,0,2,0.5188310146331787,0.4811689555644989
307,positive,neutral,2,1,0.5160913467407227,0.48390862345695496
4716,negative,positive,0,2,0.5303441882133484,0.4696558117866516
2615,neutral,negative,1,0,0.5289628505706787,0.4710371196269989
