epoch,train_loss,val_loss,accuracy,macro_f1,weighted_f1
1,0.9755748558044434,0.8534575700759888,0.6012,0.2634,0.46
2,0.844651288986206,0.7497548290661403,0.6938,0.4451,0.6358
3,0.7527049541473388,0.6991355078560966,0.715,0.5024,0.6727
4,0.669205572605133,0.6885506681033543,0.7012,0.5382,0.6817
5,0.5954821872711181,0.708773306437901,0.695,0.5968,0.6933
6,0.5203661859035492,0.6826138836996896,0.7325,0.6262,0.7244
7,0.45704952359199524,0.7236909355436053,0.715,0.5973,0.7055
8,0.40282285928726197,0.7711847424507141,0.7113,0.6166,0.7083
9,0.34639031052589414,0.775439168725695,0.7088,0.6043,0.7088
10,0.29809914231300355,0.8222578849111285,0.7088,0.6042,0.7061
11,0.2476181960105896,0.879915075642722,0.7125,0.5967,0.7041
12,0.22073598384857177,0.9494599614824567,0.7075,0.6107,0.7068
