guid,true_label,pred_label,true_label_id,pred_label_id
3408,positive,negative,2,0
563,positive,negative,2,0
5060,positive,neutral,2,1
4488,negative,positive,0,2
672,negative,positive,0,2
483,neutral,positive,1,2
586,neutral,positive,1,2
4171,positive,negative,2,0
2432,positive,neutral,2,1
663,positive,negative,2,0
2426,positive,neutral,2,1
1703,negative,neutral,0,1
4813,neutral,positive,1,2
1766,positive,neutral,2,1
2609,positive,neutral,2,1
2780,positive,negative,2,0
2166,positive,negative,2,0
1572,negative,positive,0,2
92,positive,neutral,2,1
1265,negative,neutral,0,1
2371,neutral,positive,1,2
3819,negative,neutral,0,1
2071,positive,negative,2,0
3460,neutral,negative,1,0
2532,positive,negative,2,0
2951,positive,neutral,2,1
4181,positive,negative,2,0
906,negative,neutral,0,1
1564,negative,neutral,0,1
1112,positive,negative,2,0
39,neutral,positive,1,2
4994,negative,neutral,0,1
4295,negative,positive,0,2
3573,positive,negative,2,0
979,positive,neutral,2,1
1178,positive,negative,2,0
1341,positive,negative,2,0
4479,positive,neutral,2,1
1961,negative,neutral,0,1
757,positive,neutral,2,1
509,positive,neutral,2,1
1785,negative,neutral,0,1
4233,positive,neutral,2,1
4967,positive,negative,2,0
4893,positive,negative,2,0
4501,positive,negative,2,0
1907,positive,negative,2,0
4924,negative,positive,0,2
3537,neutral,positive,1,2
559,negative,neutral,0,1
1959,negative,neutral,0,1
5105,negative,neutral,0,1
945,positive,negative,2,0
4047,neutral,positive,1,2
4199,positive,negative,2,0
140,neutral,positive,1,2
1373,negative,positive,0,2
2594,positive,negative,2,0
1997,positive,neutral,2,1
1510,negative,neutral,0,1
261,positive,neutral,2,1
4329,positive,neutral,2,1
1706,positive,negative,2,0
4618,positive,negative,2,0
3952,negative,positive,0,2
229,positive,negative,2,0
438,positive,negative,2,0
3820,positive,negative,2,0
1126,positive,negative,2,0
833,positive,neutral,2,1
1731,positive,negative,2,0
1742,positive,neutral,2,1
1295,positive,negative,2,0
2447,neutral,positive,1,2
3668,negative,positive,0,2
3691,positive,negative,2,0
2018,positive,negative,2,0
4572,positive,negative,2,0
3409,positive,negative,2,0
70,positive,negative,2,0
4051,positive,negative,2,0
892,positive,negative,2,0
3958,negative,positive,0,2
745,positive,negative,2,0
686,positive,neutral,2,1
898,positive,negative,2,0
3366,positive,neutral,2,1
3899,positive,negative,2,0
2552,neutral,negative,1,0
770,positive,neutral,2,1
3625,negative,positive,0,2
997,positive,negative,2,0
367,negative,neutral,0,1
496,positive,negative,2,0
4744,positive,negative,2,0
3272,positive,neutral,2,1
4218,positive,neutral,2,1
999,neutral,negative,1,0
2027,positive,neutral,2,1
1062,positive,neutral,2,1
2588,positive,negative,2,0
1928,negative,neutral,0,1
4952,positive,neutral,2,1
5042,positive,neutral,2,1
5104,positive,negative,2,0
1241,positive,negative,2,0
307,positive,negative,2,0
266,positive,negative,2,0
2584,negative,neutral,0,1
1798,positive,negative,2,0
2742,negative,positive,0,2
1390,neutral,negative,1,0
2861,positive,neutral,2,1
2661,positive,negative,2,0
4775,positive,neutral,2,1
800,positive,negative,2,0
580,neutral,negative,1,0
1783,negative,neutral,0,1
3319,positive,negative,2,0
4192,positive,neutral,2,1
1041,positive,negative,2,0
694,positive,neutral,2,1
1042,neutral,negative,1,0
492,positive,neutral,2,1
1630,positive,negative,2,0
452,negative,neutral,0,1
1679,positive,negative,2,0
878,positive,negative,2,0
172,positive,negative,2,0
227,positive,negative,2,0
2074,positive,negative,2,0
2928,positive,negative,2,0
14,positive,negative,2,0
4875,positive,neutral,2,1
1231,positive,negative,2,0
1854,negative,positive,0,2
576,positive,negative,2,0
4472,negative,neutral,0,1
1504,positive,negative,2,0
3373,positive,neutral,2,1
2865,negative,neutral,0,1
711,positive,negative,2,0
545,positive,neutral,2,1
4633,positive,negative,2,0
3156,positive,negative,2,0
1541,positive,neutral,2,1
536,positive,negative,2,0
1594,positive,neutral,2,1
2048,positive,negative,2,0
2005,neutral,negative,1,0
777,positive,negative,2,0
4797,negative,neutral,0,1
4422,negative,neutral,0,1
3361,positive,neutral,2,1
4221,positive,negative,2,0
2497,positive,neutral,2,1
3091,positive,negative,2,0
3614,positive,negative,2,0
3294,positive,negative,2,0
4940,positive,negative,2,0
2648,positive,negative,2,0
221,positive,negative,2,0
3689,neutral,negative,1,0
4941,positive,neutral,2,1
1186,positive,negative,2,0
4081,positive,negative,2,0
110,negative,positive,0,2
4179,positive,negative,2,0
3201,positive,negative,2,0
2739,positive,neutral,2,1
434,positive,negative,2,0
1810,positive,negative,2,0
2763,negative,positive,0,2
16,positive,neutral,2,1
3256,negative,positive,0,2
2707,positive,negative,2,0
295,positive,negative,2,0
495,positive,neutral,2,1
913,positive,negative,2,0
4965,positive,negative,2,0
1250,negative,neutral,0,1
1871,neutral,positive,1,2
2378,positive,neutral,2,1
2141,positive,neutral,2,1
4757,positive,negative,2,0
1292,positive,negative,2,0
870,neutral,negative,1,0
707,positive,negative,2,0
807,positive,negative,2,0
1166,positive,neutral,2,1
63,positive,negative,2,0
2086,positive,negative,2,0
3500,positive,neutral,2,1
4692,positive,negative,2,0
4459,positive,negative,2,0
1741,negative,neutral,0,1
3558,positive,neutral,2,1
1711,positive,neutral,2,1
3673,neutral,negative,1,0
4328,positive,neutral,2,1
3790,positive,neutral,2,1
100,positive,negative,2,0
4868,positive,neutral,2,1
3457,positive,negative,2,0
941,positive,negative,2,0
4333,negative,neutral,0,1
5103,positive,negative,2,0
3208,positive,negative,2,0
1761,negative,neutral,0,1
858,positive,negative,2,0
2610,positive,neutral,2,1
2729,positive,negative,2,0
2862,neutral,negative,1,0
927,neutral,positive,1,2
1102,negative,neutral,0,1
3712,positive,neutral,2,1
3333,neutral,positive,1,2
4473,positive,neutral,2,1
1319,negative,positive,0,2
1615,positive,negative,2,0
2038,neutral,negative,1,0
2456,positive,neutral,2,1
5015,positive,negative,2,0
796,positive,neutral,2,1
4149,positive,neutral,2,1
3420,negative,positive,0,2
4152,positive,neutral,2,1
1119,positive,neutral,2,1
4014,positive,negative,2,0
1288,negative,neutral,0,1
1424,positive,neutral,2,1
30,negative,neutral,0,1
3797,neutral,positive,1,2
3764,positive,neutral,2,1
115,positive,negative,2,0
4346,negative,positive,0,2
69,negative,positive,0,2
3004,positive,negative,2,0
3117,negative,neutral,0,1
4274,negative,neutral,0,1
4676,positive,negative,2,0
4908,negative,neutral,0,1
445,positive,negative,2,0
1710,negative,positive,0,2
3635,positive,negative,2,0
3434,negative,neutral,0,1
1900,positive,neutral,2,1
920,negative,neutral,0,1
4905,negative,neutral,0,1
954,negative,positive,0,2
284,positive,negative,2,0
2600,positive,negative,2,0
667,negative,positive,0,2
237,positive,negative,2,0
4286,positive,negative,2,0
1311,positive,negative,2,0
4729,positive,neutral,2,1
1597,positive,negative,2,0
936,neutral,positive,1,2
5056,positive,neutral,2,1
3019,positive,negative,2,0
1015,positive,negative,2,0
853,positive,negative,2,0
455,positive,negative,2,0
1019,positive,neutral,2,1
3125,negative,positive,0,2
2514,negative,neutral,0,1
4383,negative,neutral,0,1
4042,positive,neutral,2,1
5002,negative,positive,0,2
2845,positive,negative,2,0
2369,neutral,negative,1,0
2370,neutral,positive,1,2
2797,positive,neutral,2,1
506,positive,neutral,2,1
1984,positive,neutral,2,1
3642,positive,neutral,2,1
4484,positive,neutral,2,1
1582,positive,negative,2,0
1407,positive,negative,2,0
439,positive,negative,2,0
2583,positive,negative,2,0
182,positive,neutral,2,1
207,positive,neutral,2,1
3991,positive,neutral,2,1
3065,positive,neutral,2,1
233,positive,neutral,2,1
710,positive,negative,2,0
1842,positive,neutral,2,1
2966,positive,neutral,2,1
590,positive,neutral,2,1
729,positive,neutral,2,1
4358,positive,negative,2,0
1784,negative,positive,0,2
1011,positive,neutral,2,1
119,negative,neutral,0,1
1328,positive,negative,2,0
4727,positive,neutral,2,1
3337,negative,neutral,0,1
2664,negative,positive,0,2
1995,positive,neutral,2,1
3113,positive,neutral,2,1
2671,negative,neutral,0,1
4651,positive,neutral,2,1
3504,positive,negative,2,0
2773,positive,negative,2,0
1786,positive,negative,2,0
2105,negative,neutral,0,1
4818,negative,neutral,0,1
4743,positive,negative,2,0
1628,positive,neutral,2,1
1889,positive,neutral,2,1
2436,positive,negative,2,0
4396,negative,neutral,0,1
2592,positive,negative,2,0
