guid,true_label,pred_label,true_label_id,pred_label_id
3408,positive,negative,2,0
5060,positive,negative,2,0
4395,negative,positive,0,2
4488,negative,positive,0,2
4223,positive,negative,2,0
672,negative,positive,0,2
483,neutral,positive,1,2
586,neutral,positive,1,2
3661,negative,positive,0,2
1053,positive,negative,2,0
1781,neutral,negative,1,0
663,positive,negative,2,0
4076,negative,positive,0,2
1982,positive,negative,2,0
531,neutral,negative,1,0
2576,positive,neutral,2,1
2426,positive,negative,2,0
1703,negative,positive,0,2
4813,neutral,positive,1,2
804,positive,negative,2,0
1766,positive,negative,2,0
2609,positive,negative,2,0
2780,positive,negative,2,0
3154,positive,negative,2,0
1572,negative,positive,0,2
92,positive,negative,2,0
1265,negative,positive,0,2
2371,neutral,negative,1,0
3819,negative,positive,0,2
2071,positive,negative,2,0
4785,positive,negative,2,0
3460,neutral,positive,1,2
2532,positive,negative,2,0
2951,positive,neutral,2,1
1712,negative,neutral,0,1
906,negative,positive,0,2
4753,negative,positive,0,2
1564,negative,positive,0,2
3435,negative,positive,0,2
178,positive,negative,2,0
39,neutral,positive,1,2
4994,negative,positive,0,2
4295,negative,positive,0,2
3573,positive,negative,2,0
1178,positive,negative,2,0
1341,positive,negative,2,0
2938,positive,negative,2,0
1310,neutral,negative,1,0
509,positive,negative,2,0
1785,negative,positive,0,2
4233,positive,negative,2,0
4967,positive,negative,2,0
4501,positive,negative,2,0
4924,negative,positive,0,2
3537,neutral,negative,1,0
559,negative,positive,0,2
5105,negative,positive,0,2
945,positive,negative,2,0
4047,neutral,positive,1,2
4199,positive,negative,2,0
140,neutral,positive,1,2
1373,negative,positive,0,2
1997,positive,negative,2,0
1510,negative,positive,0,2
4329,positive,negative,2,0
2741,negative,positive,0,2
4618,positive,negative,2,0
3952,negative,positive,0,2
229,positive,negative,2,0
438,positive,negative,2,0
3820,positive,negative,2,0
978,positive,negative,2,0
4089,neutral,positive,1,2
1126,positive,negative,2,0
833,positive,negative,2,0
1731,positive,negative,2,0
5068,negative,positive,0,2
3896,positive,negative,2,0
1295,positive,negative,2,0
2447,neutral,positive,1,2
3668,negative,positive,0,2
3691,positive,neutral,2,1
2018,positive,negative,2,0
70,positive,negative,2,0
892,positive,negative,2,0
1947,negative,positive,0,2
3958,negative,positive,0,2
686,positive,negative,2,0
3513,negative,positive,0,2
898,positive,negative,2,0
3899,positive,negative,2,0
2552,neutral,positive,1,2
180,neutral,positive,1,2
770,positive,negative,2,0
3625,negative,positive,0,2
997,positive,negative,2,0
999,neutral,positive,1,2
3332,negative,positive,0,2
1480,negative,neutral,0,1
2705,neutral,positive,1,2
2588,positive,negative,2,0
3825,negative,positive,0,2
1928,negative,positive,0,2
4716,negative,positive,0,2
2615,neutral,negative,1,0
473,negative,neutral,0,1
3581,negative,positive,0,2
2584,negative,neutral,0,1
542,negative,positive,0,2
2742,negative,positive,0,2
1390,neutral,negative,1,0
2861,positive,neutral,2,1
1783,negative,positive,0,2
3319,positive,neutral,2,1
4192,positive,neutral,2,1
1041,positive,neutral,2,1
1042,neutral,positive,1,2
452,negative,neutral,0,1
4001,negative,positive,0,2
433,neutral,positive,1,2
1418,negative,positive,0,2
2013,negative,positive,0,2
3164,negative,positive,0,2
3163,neutral,positive,1,2
14,positive,negative,2,0
1231,positive,negative,2,0
1854,negative,neutral,0,1
4472,negative,positive,0,2
2865,negative,positive,0,2
3918,negative,positive,0,2
5053,negative,positive,0,2
711,positive,neutral,2,1
2005,neutral,positive,1,2
4256,positive,neutral,2,1
4797,negative,neutral,0,1
4422,negative,positive,0,2
2648,positive,neutral,2,1
4079,negative,positive,0,2
788,neutral,positive,1,2
3689,neutral,positive,1,2
1833,positive,neutral,2,1
1186,positive,neutral,2,1
110,negative,positive,0,2
5112,negative,positive,0,2
2739,positive,neutral,2,1
2763,negative,positive,0,2
16,positive,negative,2,0
3256,negative,positive,0,2
2707,positive,neutral,2,1
2389,neutral,positive,1,2
1152,positive,neutral,2,1
699,negative,positive,0,2
4965,positive,neutral,2,1
1250,negative,positive,0,2
1871,neutral,positive,1,2
870,neutral,positive,1,2
707,positive,negative,2,0
2003,positive,negative,2,0
1166,positive,negative,2,0
63,positive,negative,2,0
2086,positive,negative,2,0
3500,positive,negative,2,0
4692,positive,negative,2,0
4459,positive,negative,2,0
3704,positive,negative,2,0
735,positive,negative,2,0
3558,positive,neutral,2,1
1711,positive,negative,2,0
4788,positive,negative,2,0
1650,positive,negative,2,0
3673,neutral,negative,1,0
4328,positive,negative,2,0
100,positive,negative,2,0
4868,positive,negative,2,0
3457,positive,negative,2,0
3042,neutral,positive,1,2
941,positive,negative,2,0
2641,negative,neutral,0,1
4333,negative,neutral,0,1
5103,positive,neutral,2,1
2017,positive,negative,2,0
3208,positive,negative,2,0
2610,positive,negative,2,0
2862,neutral,negative,1,0
927,neutral,negative,1,0
1102,negative,neutral,0,1
5041,positive,negative,2,0
3333,neutral,negative,1,0
618,neutral,positive,1,2
