epoch,train_loss,val_loss,accuracy,macro_f1,weighted_f1
1,0.9416711235046387,1.1012986557824271,0.4062,0.3186,0.418
2,0.7730871486663818,1.0813838754381453,0.3738,0.3079,0.3976
3,0.6494792318344116,1.2046574865068709,0.1862,0.1893,0.1929
4,0.582601523399353,1.173058612006051,0.26,0.241,0.2308
5,0.5160170423984528,1.121634074619838,0.3175,0.3038,0.3513
6,0.42786396622657774,1.156973966530391,0.3012,0.2812,0.3331
7,0.36931036233901976,1.049313519682203,0.41,0.3441,0.4284
8,0.2968629276752472,1.0975329194750105,0.4038,0.3096,0.4226
9,0.2401891702413559,1.145571163722447,0.2825,0.2766,0.309
10,0.19138038247823716,1.1267354318073817,0.3188,0.2857,0.342
11,0.15049575954675676,1.0839046154703413,0.3862,0.325,0.4132
12,0.13650673776865005,1.1348843319075448,0.3025,0.2783,0.3293
13,0.09900042861700058,1.1178887827055795,0.3488,0.315,0.3955
