epoch,train_loss,val_loss,accuracy,macro_f1,weighted_f1
1,1.085662841796875,1.0576407398496355,0.5975,0.2493,0.447
2,1.0424899291992187,1.0110682504517692,0.5975,0.2493,0.447
3,0.9993440246582032,0.9645540799413409,0.5975,0.2493,0.447
4,0.9566264343261719,0.9120013458388192,0.5975,0.2493,0.447
5,0.9070793151855469,0.8753737040928432,0.6412,0.4254,0.568
6,0.8535479736328125,0.8351195795195443,0.6975,0.5479,0.6814
7,0.8012492370605468,0.8099251644951957,0.6925,0.5383,0.6708
8,0.7548189163208008,0.7817635025296893,0.6888,0.4713,0.6543
9,0.7136399459838867,0.7631967834063939,0.7113,0.5452,0.6868
10,0.6769921493530273,0.7577732716287885,0.7113,0.5417,0.6867
11,0.6390037155151367,0.759361743927002,0.7138,0.5601,0.6949
12,0.6094941139221192,0.7644254394939968,0.7163,0.5471,0.691
13,0.5666447639465332,0.8109818696975708,0.6675,0.5455,0.6603
14,0.5491947937011719,0.7979295168604169,0.6975,0.5432,0.6807
15,0.5319498252868652,0.8070404274123055,0.7025,0.5432,0.6825
16,0.5198785400390625,0.8038251314844403,0.69,0.5505,0.6777
17,0.5088927459716797,0.8179675000054496,0.69,0.5405,0.6748
