epoch,train_loss,val_loss,accuracy,macro_f1,weighted_f1
1,0.9944831848144531,0.8956213338034493,0.5975,0.2493,0.447
2,0.8798645782470703,0.8060649122510638,0.615,0.3038,0.4974
3,0.7732652473449707,0.7424563680376325,0.69,0.4804,0.6478
4,0.7014178085327148,0.7158807260649545,0.6938,0.5567,0.6802
5,0.6440146446228028,0.7207603028842381,0.7025,0.553,0.6835
6,0.5718590021133423,0.7478202411106655,0.69,0.5405,0.6735
7,0.502326431274414,0.7385720355170113,0.6888,0.5945,0.6927
8,0.45139952182769777,0.8695020079612732,0.6988,0.568,0.6873
9,0.3997028052806854,0.8681082470076424,0.7012,0.57,0.6903
10,0.345002748966217,0.9345431412969317,0.7,0.5809,0.6919
11,0.3120947277545929,0.9199777245521545,0.69,0.5932,0.6894
12,0.2543719577789307,1.0415784972054618,0.6938,0.567,0.6855
13,0.24780723929405213,1.0169949616704668,0.7025,0.5818,0.694
