epoch,train_loss,val_loss,accuracy,macro_f1,weighted_f1
1,1.087268000063689,1.0635310610135396,0.5997,0.2499,0.4497
2,1.0483345674431843,1.023158033688863,0.5997,0.2499,0.4497
3,1.0083490454632302,0.9835191865762075,0.5997,0.2499,0.4497
4,0.9701181157775547,0.9440076450506846,0.5997,0.2499,0.4497
5,0.9254268485566844,0.9056164026260376,0.604,0.3541,0.4838
6,0.8915657686150592,0.866430938243866,0.6662,0.4949,0.6285
7,0.8353996276855469,0.8377199669679006,0.6719,0.4934,0.6397
8,0.7904058046962904,0.8187117775281271,0.6704,0.4687,0.621
9,0.7412164936894956,0.802283505598704,0.71,0.5466,0.6883
10,0.6880690196286077,0.785720040400823,0.6973,0.5551,0.6828
11,0.649953411973041,0.8177970548470815,0.6931,0.5102,0.661
12,0.6239277124404907,0.7987082898616791,0.7001,0.5235,0.6747
13,0.5847749787828197,0.797533263762792,0.6959,0.5289,0.674
14,0.5610726734866267,0.8120981156826019,0.6973,0.5231,0.6739
15,0.5328236870143724,0.8189334472020467,0.6931,0.5304,0.6725
16,0.5109967978104301,0.8079511920611063,0.6832,0.5323,0.6713
