guid,true_label,pred_label,true_label_id,pred_label_id
3901,negative,positive,0,2
4887,negative,positive,0,2
1735,negative,positive,0,2
552,neutral,positive,1,2
3920,neutral,positive,1,2
1051,neutral,positive,1,2
1972,negative,positive,0,2
1846,neutral,positive,1,2
4371,negative,positive,0,2
1808,neutral,negative,1,0
3652,negative,positive,0,2
4719,negative,positive,0,2
3491,negative,positive,0,2
2984,neutral,positive,1,2
3538,negative,positive,0,2
2054,neutral,negative,1,0
3094,neutral,positive,1,2
3043,neutral,positive,1,2
2439,neutral,positive,1,2
511,neutral,positive,1,2
3947,negative,positive,0,2
5072,negative,positive,0,2
1750,positive,negative,2,0
1741,negative,positive,0,2
302,negative,positive,0,2
1548,negative,positive,0,2
4602,negative,positive,0,2
1058,neutral,positive,1,2
1912,neutral,negative,1,0
4834,negative,positive,0,2
4813,neutral,positive,1,2
2015,negative,positive,0,2
2636,neutral,positive,1,2
1534,negative,positive,0,2
606,negative,positive,0,2
1950,negative,positive,0,2
3983,positive,negative,2,0
142,neutral,positive,1,2
2111,neutral,positive,1,2
927,neutral,positive,1,2
347,negative,positive,0,2
582,neutral,positive,1,2
581,neutral,positive,1,2
255,negative,positive,0,2
3834,neutral,positive,1,2
2605,negative,positive,0,2
4092,neutral,positive,1,2
2077,neutral,positive,1,2
2058,neutral,positive,1,2
2787,neutral,positive,1,2
4403,negative,positive,0,2
1332,negative,positive,0,2
1528,negative,positive,0,2
4006,negative,positive,0,2
854,negative,positive,0,2
1878,negative,positive,0,2
1016,neutral,positive,1,2
260,negative,positive,0,2
2731,neutral,positive,1,2
1881,negative,positive,0,2
450,negative,positive,0,2
2038,neutral,positive,1,2
3533,neutral,positive,1,2
3105,negative,positive,0,2
4182,negative,positive,0,2
3212,neutral,positive,1,2
4820,negative,positive,0,2
5064,negative,positive,0,2
2450,neutral,negative,1,0
1288,negative,positive,0,2
3943,negative,positive,0,2
4191,negative,positive,0,2
164,negative,positive,0,2
1964,neutral,negative,1,0
3590,positive,negative,2,0
4515,neutral,positive,1,2
2965,positive,negative,2,0
3844,neutral,positive,1,2
689,negative,positive,0,2
3478,negative,positive,0,2
3329,neutral,positive,1,2
985,neutral,positive,1,2
787,positive,negative,2,0
2790,neutral,positive,1,2
4816,negative,positive,0,2
3856,neutral,positive,1,2
1071,neutral,positive,1,2
1513,negative,positive,0,2
1379,negative,positive,0,2
4760,neutral,positive,1,2
4396,negative,positive,0,2
1739,negative,positive,0,2
211,neutral,positive,1,2
3557,negative,positive,0,2
1928,negative,positive,0,2
4170,negative,positive,0,2
2131,negative,positive,0,2
1394,neutral,positive,1,2
2961,negative,positive,0,2
4470,negative,positive,0,2
1862,neutral,positive,1,2
4939,negative,positive,0,2
1535,positive,negative,2,0
2311,neutral,positive,1,2
3419,negative,positive,0,2
1385,positive,negative,2,0
3950,negative,positive,0,2
727,negative,positive,0,2
3413,negative,positive,0,2
2976,negative,positive,0,2
1399,negative,positive,0,2
4584,negative,positive,0,2
4669,neutral,positive,1,2
4204,negative,positive,0,2
3164,negative,positive,0,2
1187,positive,negative,2,0
608,negative,positive,0,2
3831,negative,positive,0,2
3274,negative,positive,0,2
2934,positive,negative,2,0
340,neutral,positive,1,2
2119,negative,positive,0,2
4639,negative,positive,0,2
1819,negative,positive,0,2
3793,negative,positive,0,2
628,negative,positive,0,2
5089,negative,positive,0,2
4290,negative,positive,0,2
4627,negative,positive,0,2
2101,positive,negative,2,0
1510,negative,positive,0,2
2313,negative,positive,0,2
1692,neutral,positive,1,2
1012,neutral,negative,1,0
531,neutral,negative,1,0
4943,negative,positive,0,2
2723,neutral,positive,1,2
1515,negative,positive,0,2
2354,negative,positive,0,2
2496,negative,positive,0,2
2641,negative,positive,0,2
4836,negative,positive,0,2
1927,negative,positive,0,2
3488,negative,positive,0,2
