epoch,train_loss,val_loss,accuracy,macro_f1,weighted_f1
1,1.088752215323241,1.014629105726878,0.5997,0.2499,0.4497
2,0.9704151464545209,0.9371253450711569,0.5997,0.2499,0.4497
3,0.9195104163625966,0.9014900922775269,0.5997,0.2499,0.4497
4,0.8912461322286854,0.8851101895173391,0.5997,0.2499,0.4497
5,0.8704711924428525,0.8740021884441376,0.5997,0.2499,0.4497
6,0.8744705967281176,0.8639992376168569,0.6011,0.2533,0.4529
7,0.8500974074653957,0.8555066784222921,0.604,0.2629,0.4616
8,0.8333043844803519,0.8474239607652029,0.6054,0.2691,0.4674
9,0.8319715002308721,0.8398016194502512,0.611,0.2817,0.4794
10,0.8288430156915084,0.8330411414305369,0.6139,0.2927,0.4893
11,0.8178589810495791,0.827203243970871,0.6167,0.2986,0.495
12,0.8140612944312717,0.821315735578537,0.6337,0.3321,0.5272
13,0.8030982924544293,0.8164487580458323,0.6351,0.3347,0.5299
14,0.8063627455545508,0.8115142186482748,0.6379,0.3437,0.538
15,0.7980199197064275,0.8073606590429941,0.6464,0.3632,0.5567
16,0.7803771754969722,0.8034259676933289,0.6492,0.3692,0.5626
17,0.7908495716426683,0.8000185191631317,0.6521,0.3736,0.5671
18,0.7783317358597465,0.7972606718540192,0.6563,0.3831,0.5759
19,0.7787147553070731,0.7947491705417633,0.6563,0.3831,0.5759
20,0.7710315740626791,0.7928733229637146,0.6591,0.3873,0.5803
21,0.7731326507485431,0.7912569642066956,0.662,0.3916,0.5845
22,0.782300239023955,0.7898131906986237,0.662,0.3939,0.5866
23,0.7649590813595316,0.7885935207207998,0.6634,0.3972,0.5896
24,0.7607628988183063,0.7876324951648712,0.662,0.3963,0.5885
25,0.7726432059122168,0.7868128220240275,0.6591,0.3958,0.5872
26,0.7706871110460033,0.786324163277944,0.662,0.3998,0.5912
27,0.7605992879556573,0.7860091725985209,0.6634,0.4018,0.5932
28,0.7563649040201436,0.7858492930730184,0.6634,0.4018,0.5932
29,0.7671567979066268,0.7857520679632822,0.6634,0.4018,0.5932
30,0.7780866156453672,0.785718301932017,0.6634,0.4018,0.5932
