epoch,train_loss,val_loss,accuracy,macro_f1,weighted_f1
1,0.962843770566194,0.8941578368345896,0.5997,0.2499,0.4497
2,0.8450411972792252,0.7632958094278971,0.6888,0.4698,0.6534
3,0.7280491046283556,0.7480215032895406,0.6888,0.4476,0.6369
4,0.6486734268457993,0.737567255894343,0.7086,0.5455,0.6877
5,0.5781816581021184,0.780725747346878,0.6931,0.5412,0.6774
6,0.5352841460186503,0.858967661857605,0.6874,0.5398,0.6648
7,0.5097361647564432,0.8873414099216461,0.6959,0.5451,0.6764
8,0.43848722784415534,0.8758890430132548,0.7001,0.5496,0.6831
9,0.40507117561672046,0.9061555663744608,0.6591,0.5542,0.663
10,0.3669748902320862,0.9561710953712463,0.7058,0.5714,0.6946
11,0.2810385201288306,1.0082058211167653,0.6874,0.5923,0.6911
12,0.2701464327781097,1.0306390821933746,0.686,0.5677,0.6816
13,0.2391378957292308,1.1703100800514221,0.6888,0.5633,0.6805
14,0.21652125016502713,1.1359950204690297,0.6902,0.58,0.6893
15,0.18096892730049466,1.1699722508589427,0.6931,0.574,0.6896
16,0.1661909961182138,1.191501408815384,0.6874,0.5756,0.6824
17,0.14746073989764505,1.2113640705744426,0.6888,0.5585,0.679
