epoch,text_weight,image_weight
1,0.5277626,0.47223744
2,0.56713384,0.43286628
3,0.5974696,0.40253058
4,0.6144118,0.38558823
5,0.6141694,0.38583058
6,0.61652774,0.3834726
7,0.6129072,0.387093
8,0.63769805,0.36230224
9,0.6471446,0.35285568
10,0.6662384,0.33376044
11,0.6671739,0.33282644
12,0.6735257,0.3264742
13,0.6723925,0.32760793
14,0.68077904,0.31922048
15,0.6795295,0.3204704
16,0.6930325,0.30696765
17,0.69577783,0.30422205
18,0.6924387,0.307561
19,0.7012331,0.29876673
20,0.70943415,0.2905657
21,0.7128686,0.28713197
22,0.7060621,0.29393786
23,0.71345544,0.2865443
24,0.7106359,0.2893645
25,0.71125525,0.28874454
