guid,true_label,pred_label,true_label_id,pred_label_id
4395,negative,positive,0,2
4488,negative,positive,0,2
483,neutral,positive,1,2
586,neutral,positive,1,2
3661,negative,positive,0,2
1781,neutral,positive,1,2
4076,negative,positive,0,2
531,neutral,negative,1,0
4813,neutral,positive,1,2
2371,neutral,positive,1,2
3460,neutral,positive,1,2
1712,negative,positive,0,2
4753,negative,positive,0,2
891,positive,negative,2,0
39,neutral,positive,1,2
4994,negative,positive,0,2
4033,positive,negative,2,0
4295,negative,positive,0,2
1961,negative,positive,0,2
757,positive,negative,2,0
1310,neutral,positive,1,2
1785,negative,positive,0,2
4924,negative,positive,0,2
3537,neutral,positive,1,2
1959,negative,positive,0,2
5105,negative,positive,0,2
4047,neutral,positive,1,2
140,neutral,positive,1,2
4217,positive,negative,2,0
2594,positive,negative,2,0
1510,negative,positive,0,2
2741,negative,positive,0,2
3952,negative,positive,0,2
4089,neutral,positive,1,2
5068,negative,positive,0,2
2447,neutral,positive,1,2
3668,negative,positive,0,2
3691,positive,negative,2,0
1947,negative,positive,0,2
3958,negative,positive,0,2
2552,neutral,negative,1,0
180,neutral,positive,1,2
367,negative,positive,0,2
999,neutral,positive,1,2
2705,neutral,positive,1,2
3825,negative,positive,0,2
1928,negative,positive,0,2
5104,positive,negative,2,0
4716,negative,positive,0,2
2615,neutral,negative,1,0
473,negative,positive,0,2
3581,negative,positive,0,2
2584,negative,positive,0,2
2742,negative,positive,0,2
1390,neutral,positive,1,2
580,neutral,positive,1,2
1042,neutral,negative,1,0
452,negative,positive,0,2
4001,negative,positive,0,2
433,neutral,positive,1,2
1418,negative,positive,0,2
2013,negative,positive,0,2
3164,negative,positive,0,2
3163,neutral,positive,1,2
2928,positive,negative,2,0
1854,negative,positive,0,2
2865,negative,positive,0,2
3918,negative,positive,0,2
711,positive,negative,2,0
545,positive,negative,2,0
2005,neutral,negative,1,0
4079,negative,positive,0,2
788,neutral,positive,1,2
3689,neutral,positive,1,2
4941,positive,negative,2,0
110,negative,positive,0,2
5112,negative,positive,0,2
1810,positive,negative,2,0
3256,negative,positive,0,2
2389,neutral,positive,1,2
2378,positive,negative,2,0
870,neutral,positive,1,2
3673,neutral,positive,1,2
3790,positive,negative,2,0
3042,neutral,positive,1,2
4333,negative,positive,0,2
2363,negative,positive,0,2
1761,negative,positive,0,2
2729,positive,negative,2,0
2862,neutral,positive,1,2
927,neutral,positive,1,2
3333,neutral,positive,1,2
618,neutral,negative,1,0
602,negative,positive,0,2
2038,neutral,positive,1,2
2126,negative,positive,0,2
1561,negative,positive,0,2
3968,negative,positive,0,2
1288,negative,positive,0,2
1520,negative,positive,0,2
5025,negative,positive,0,2
30,negative,positive,0,2
2102,neutral,negative,1,0
1215,positive,negative,2,0
3797,neutral,positive,1,2
4824,negative,positive,0,2
69,negative,positive,0,2
3004,positive,negative,2,0
4676,positive,negative,2,0
4908,negative,positive,0,2
348,negative,positive,0,2
1710,negative,positive,0,2
2110,neutral,negative,1,0
1900,positive,negative,2,0
2898,negative,positive,0,2
2108,positive,negative,2,0
920,negative,positive,0,2
954,negative,positive,0,2
320,negative,positive,0,2
667,negative,positive,0,2
237,positive,negative,2,0
936,neutral,positive,1,2
4602,negative,positive,0,2
720,neutral,positive,1,2
3019,positive,negative,2,0
830,negative,positive,0,2
4183,negative,positive,0,2
3125,negative,positive,0,2
2514,negative,positive,0,2
1329,positive,negative,2,0
4042,positive,negative,2,0
2790,neutral,positive,1,2
2369,neutral,positive,1,2
2370,neutral,positive,1,2
2985,neutral,positive,1,2
3330,neutral,positive,1,2
2761,neutral,positive,1,2
865,neutral,negative,1,0
1156,negative,positive,0,2
4816,negative,positive,0,2
3991,positive,negative,2,0
2101,positive,negative,2,0
3429,negative,positive,0,2
729,positive,negative,2,0
3659,negative,positive,0,2
3337,negative,positive,0,2
2664,negative,positive,0,2
1995,positive,negative,2,0
1264,negative,positive,0,2
4818,negative,positive,0,2
1958,negative,positive,0,2
4396,negative,positive,0,2
2592,positive,negative,2,0
333,negative,positive,0,2
1419,neutral,positive,1,2
4652,negative,positive,0,2
2937,neutral,positive,1,2
4478,negative,positive,0,2
3831,negative,positive,0,2
2376,positive,negative,2,0
4823,negative,positive,0,2
1122,negative,positive,0,2
4650,neutral,positive,1,2
937,negative,positive,0,2
4186,neutral,negative,1,0
591,neutral,positive,1,2
24,neutral,negative,1,0
2470,positive,negative,2,0
4195,negative,positive,0,2
4092,neutral,positive,1,2
1693,negative,positive,0,2
2864,neutral,negative,1,0
3405,negative,positive,0,2
243,neutral,positive,1,2
280,negative,positive,0,2
695,positive,negative,2,0
3808,neutral,positive,1,2
3365,negative,positive,0,2
2453,neutral,positive,1,2
2794,negative,positive,0,2
5121,positive,negative,2,0
1787,positive,negative,2,0
3159,neutral,positive,1,2
3877,positive,negative,2,0
4751,positive,negative,2,0
3141,negative,positive,0,2
3501,negative,positive,0,2
2645,negative,positive,0,2
1142,negative,positive,0,2
2899,negative,positive,0,2
3768,negative,positive,0,2
3491,negative,positive,0,2
4332,negative,positive,0,2
2633,negative,positive,0,2
1144,neutral,negative,1,0
687,negative,positive,0,2
4849,negative,positive,0,2
3796,positive,negative,2,0
4157,negative,positive,0,2
2747,negative,positive,0,2
3267,neutral,positive,1,2
621,neutral,positive,1,2
2561,neutral,positive,1,2
985,neutral,negative,1,0
1400,neutral,positive,1,2
4013,negative,positive,0,2
2728,neutral,positive,1,2
1676,negative,positive,0,2
2673,negative,positive,0,2
1515,negative,positive,0,2
3212,neutral,positive,1,2
3829,neutral,positive,1,2
4002,negative,positive,0,2
2663,negative,positive,0,2
2665,neutral,positive,1,2
2730,neutral,positive,1,2
3866,neutral,positive,1,2
782,negative,positive,0,2
4035,negative,positive,0,2
155,neutral,positive,1,2
4863,neutral,positive,1,2
574,negative,positive,0,2
1090,negative,positive,0,2
4300,negative,positive,0,2
3299,neutral,positive,1,2
3509,negative,positive,0,2
1921,positive,negative,2,0
3852,positive,negative,2,0
727,negative,positive,0,2
3050,negative,positive,0,2
4470,negative,positive,0,2
2056,neutral,negative,1,0
5064,negative,positive,0,2
1261,neutral,negative,1,0
181,neutral,positive,1,2
4355,negative,positive,0,2
984,neutral,positive,1,2
4831,negative,positive,0,2
921,negative,positive,0,2
3522,negative,positive,0,2
3585,negative,positive,0,2
1698,negative,positive,0,2
3329,neutral,positive,1,2
4075,positive,negative,2,0
484,negative,positive,0,2
905,neutral,positive,1,2
989,positive,negative,2,0
2015,negative,positive,0,2
3878,negative,positive,0,2
3784,negative,positive,0,2
4543,negative,positive,0,2
3943,negative,positive,0,2
2159,positive,negative,2,0
1367,negative,positive,0,2
819,negative,positive,0,2
1964,neutral,negative,1,0
1734,negative,positive,0,2
330,neutral,positive,1,2
1670,negative,positive,0,2
855,positive,negative,2,0
4526,positive,negative,2,0
