epoch,train_loss,val_loss,accuracy,macro_f1,weighted_f1
1,1.057987823486328,0.9969848309244428,0.5975,0.2493,0.447
2,0.9581550598144531,0.9159467901502337,0.5975,0.2493,0.447
3,0.9041515731811524,0.8792165092059544,0.5975,0.2493,0.447
4,0.8824598693847656,0.8638994864055088,0.5975,0.2493,0.447
5,0.8755328369140625,0.8537289074489048,0.5975,0.2493,0.447
6,0.8564795303344727,0.8433793783187866,0.5975,0.2493,0.447
7,0.8470419883728028,0.8319994466645377,0.6012,0.2582,0.4554
8,0.8387140464782715,0.8221125432423183,0.6088,0.2778,0.4738
9,0.8238326072692871,0.812078561101641,0.6138,0.2887,0.4845
10,0.811864595413208,0.803851238318852,0.6225,0.3203,0.5133
11,0.8017240238189697,0.7964444160461426,0.6325,0.345,0.5366
12,0.7867089462280273,0.7902114476476397,0.6412,0.3637,0.5546
13,0.7845021629333496,0.785129998411451,0.65,0.3843,0.574
14,0.7720423269271851,0.7803127425057548,0.6587,0.3999,0.5891
15,0.7669951391220092,0.776357752936227,0.665,0.4118,0.6007
16,0.7582648277282715,0.7719189694949559,0.6662,0.4136,0.6023
17,0.7556342196464538,0.7696927615574428,0.6625,0.4157,0.6031
18,0.748466591835022,0.7671591298920768,0.6675,0.4221,0.6102
19,0.7454922246932983,0.7653597678456988,0.6688,0.4251,0.6128
20,0.736839838027954,0.7631748744419643,0.67,0.4261,0.6138
21,0.7417914414405823,0.7619099702153888,0.6712,0.4274,0.6154
22,0.7399690866470336,0.7613065838813782,0.67,0.4274,0.6149
23,0.733000192642212,0.7601054225649152,0.6725,0.436,0.6189
24,0.7285361480712891,0.7596959045955113,0.6738,0.4394,0.6219
25,0.7306026601791382,0.7592329468045916,0.6725,0.4386,0.6209
26,0.7275625610351563,0.7588733945574079,0.6738,0.4401,0.6224
27,0.7206978058815002,0.7586787939071655,0.6738,0.4401,0.6224
28,0.7286611604690552,0.7584859984261649,0.6738,0.4401,0.6224
29,0.7225422072410583,0.7584157330649239,0.6738,0.4401,0.6224
30,0.7280689215660096,0.7583969235420227,0.6738,0.4401,0.6224
