guid,true_label,pred_label,true_label_id,pred_label_id
563,positive,negative,2,0
4488,negative,positive,0,2
483,neutral,positive,1,2
3661,negative,positive,0,2
4171,positive,neutral,2,1
2432,positive,neutral,2,1
1781,neutral,positive,1,2
531,neutral,positive,1,2
1703,negative,positive,0,2
3460,neutral,positive,1,2
891,positive,negative,2,0
39,neutral,positive,1,2
4994,negative,positive,0,2
979,positive,negative,2,0
1310,neutral,positive,1,2
4967,positive,neutral,2,1
4893,positive,negative,2,0
3537,neutral,positive,1,2
559,negative,positive,0,2
1959,negative,positive,0,2
4047,neutral,negative,1,0
4007,negative,positive,0,2
140,neutral,positive,1,2
4416,negative,positive,0,2
1510,negative,positive,0,2
1706,positive,negative,2,0
5095,positive,neutral,2,1
1742,positive,negative,2,0
2447,neutral,negative,1,0
2018,positive,negative,2,0
3409,positive,neutral,2,1
4051,positive,negative,2,0
3366,positive,negative,2,0
2552,neutral,negative,1,0
180,neutral,positive,1,2
3625,negative,neutral,0,1
999,neutral,positive,1,2
2705,neutral,positive,1,2
3825,negative,positive,0,2
1928,negative,positive,0,2
307,positive,neutral,2,1
4716,negative,positive,0,2
2615,neutral,negative,1,0
2661,positive,negative,2,0
580,neutral,negative,1,0
3319,positive,neutral,2,1
694,positive,negative,2,0
452,negative,positive,0,2
1679,positive,negative,2,0
878,positive,negative,2,0
433,neutral,positive,1,2
2013,negative,positive,0,2
3164,negative,positive,0,2
3163,neutral,negative,1,0
2928,positive,neutral,2,1
1231,positive,negative,2,0
2865,negative,positive,0,2
545,positive,negative,2,0
536,positive,negative,2,0
2005,neutral,negative,1,0
777,positive,negative,2,0
4256,positive,negative,2,0
544,positive,negative,2,0
3361,positive,negative,2,0
3614,positive,neutral,2,1
4940,positive,negative,2,0
2648,positive,neutral,2,1
788,neutral,positive,1,2
3689,neutral,positive,1,2
110,negative,positive,0,2
5112,negative,positive,0,2
2739,positive,negative,2,0
434,positive,negative,2,0
1810,positive,negative,2,0
2763,negative,neutral,0,1
2707,positive,neutral,2,1
2389,neutral,positive,1,2
870,neutral,positive,1,2
807,positive,neutral,2,1
2086,positive,negative,2,0
3704,positive,negative,2,0
3558,positive,negative,2,0
1711,positive,negative,2,0
3673,neutral,positive,1,2
3457,positive,negative,2,0
5103,positive,negative,2,0
2017,positive,negative,2,0
2363,negative,positive,0,2
2729,positive,negative,2,0
2862,neutral,negative,1,0
927,neutral,negative,1,0
3333,neutral,positive,1,2
4473,positive,negative,2,0
602,negative,neutral,0,1
2038,neutral,positive,1,2
2126,negative,positive,0,2
4149,positive,negative,2,0
1561,negative,positive,0,2
1288,negative,positive,0,2
1520,negative,positive,0,2
5025,negative,positive,0,2
30,negative,positive,0,2
2102,neutral,negative,1,0
3797,neutral,positive,1,2
4824,negative,positive,0,2
4346,negative,neutral,0,1
3004,positive,neutral,2,1
3822,positive,negative,2,0
1710,negative,positive,0,2
159,negative,positive,0,2
2108,positive,negative,2,0
920,negative,positive,0,2
237,positive,negative,2,0
4286,positive,negative,2,0
1311,positive,negative,2,0
1597,positive,negative,2,0
936,neutral,positive,1,2
4602,negative,positive,0,2
720,neutral,negative,1,0
1015,positive,negative,2,0
177,positive,negative,2,0
2884,positive,negative,2,0
4183,negative,positive,0,2
3125,negative,positive,0,2
2514,negative,positive,0,2
4042,positive,negative,2,0
2985,neutral,negative,1,0
3330,neutral,positive,1,2
865,neutral,negative,1,0
1156,negative,positive,0,2
1407,positive,negative,2,0
4433,negative,positive,0,2
1815,positive,negative,2,0
233,positive,negative,2,0
4727,positive,negative,2,0
3337,negative,positive,0,2
4606,negative,positive,0,2
3113,positive,negative,2,0
4651,positive,negative,2,0
4426,positive,negative,2,0
1264,negative,positive,0,2
1419,neutral,negative,1,0
2937,neutral,positive,1,2
4650,neutral,positive,1,2
4186,neutral,positive,1,2
591,neutral,positive,1,2
24,neutral,negative,1,0
2603,negative,neutral,0,1
2349,positive,negative,2,0
4092,neutral,negative,1,0
3088,positive,negative,2,0
3718,positive,negative,2,0
2864,neutral,positive,1,2
1314,positive,negative,2,0
3808,neutral,positive,1,2
3365,negative,positive,0,2
1267,positive,negative,2,0
953,positive,negative,2,0
2501,positive,neutral,2,1
4962,positive,negative,2,0
2453,neutral,negative,1,0
53,positive,neutral,2,1
1813,positive,negative,2,0
5121,positive,negative,2,0
2656,positive,neutral,2,1
1787,positive,negative,2,0
3159,neutral,positive,1,2
2783,negative,neutral,0,1
3055,negative,positive,0,2
3877,positive,negative,2,0
441,positive,negative,2,0
2659,positive,neutral,2,1
3141,negative,neutral,0,1
2645,negative,positive,0,2
244,positive,neutral,2,1
3768,negative,neutral,0,1
3491,negative,positive,0,2
2106,positive,negative,2,0
1144,neutral,positive,1,2
687,negative,positive,0,2
1688,positive,negative,2,0
4849,negative,positive,0,2
2575,positive,negative,2,0
2747,negative,positive,0,2
3939,positive,negative,2,0
3267,neutral,positive,1,2
3990,positive,negative,2,0
621,neutral,positive,1,2
2561,neutral,negative,1,0
985,neutral,positive,1,2
1400,neutral,positive,1,2
4078,positive,neutral,2,1
1515,negative,positive,0,2
3212,neutral,positive,1,2
3829,neutral,negative,1,0
1008,positive,negative,2,0
2953,positive,negative,2,0
2665,neutral,negative,1,0
3155,negative,positive,0,2
3866,neutral,positive,1,2
2042,positive,negative,2,0
155,neutral,negative,1,0
4863,neutral,positive,1,2
1608,positive,negative,2,0
1090,negative,positive,0,2
732,negative,positive,0,2
3299,neutral,negative,1,0
4761,positive,negative,2,0
5077,negative,positive,0,2
4068,positive,negative,2,0
3852,positive,neutral,2,1
3423,positive,negative,2,0
2360,negative,positive,0,2
3050,negative,positive,0,2
4470,negative,positive,0,2
1261,neutral,negative,1,0
3849,positive,negative,2,0
181,neutral,positive,1,2
984,neutral,positive,1,2
2900,positive,negative,2,0
889,positive,negative,2,0
4831,negative,positive,0,2
4382,positive,negative,2,0
1151,positive,negative,2,0
1526,negative,positive,0,2
1727,positive,neutral,2,1
97,negative,positive,0,2
3060,negative,positive,0,2
3357,positive,negative,2,0
4075,positive,negative,2,0
905,neutral,negative,1,0
790,positive,negative,2,0
3784,negative,positive,0,2
4540,positive,neutral,2,1
3943,negative,positive,0,2
2159,positive,negative,2,0
1367,negative,positive,0,2
856,negative,positive,0,2
1964,neutral,negative,1,0
330,neutral,positive,1,2
267,positive,negative,2,0
2701,positive,neutral,2,1
855,positive,negative,2,0
1190,positive,negative,2,0
2819,positive,negative,2,0
