epoch,train_loss,val_loss,accuracy,macro_f1,weighted_f1
1,0.9860427856445313,0.8950158953666687,0.5975,0.2493,0.447
2,0.8927853393554688,0.8611107553754535,0.5975,0.2493,0.447
3,0.8113000106811523,0.7873994622911725,0.6212,0.4477,0.603
4,0.7268378782272339,0.7388403926576886,0.6962,0.4993,0.6605
5,0.6440862894058228,0.7170143468039376,0.6988,0.5557,0.6866
6,0.5787003040313721,0.7562007222856794,0.7075,0.555,0.6867
7,0.510996800661087,0.7505499976021903,0.7025,0.5622,0.6887
8,0.4552512788772583,0.8480585302625384,0.7125,0.586,0.7027
9,0.39393908977508546,0.8858186772891453,0.705,0.5681,0.691
10,0.3401155984401703,0.9041918090411595,0.7062,0.5958,0.702
11,0.2849480664730072,1.0167646067483085,0.7012,0.5528,0.6851
12,0.2572177612781525,1.029945228781019,0.7163,0.5662,0.6972
13,0.221553293466568,1.0692519460405623,0.6938,0.5653,0.6863
14,0.17999036639928817,1.1587907842227392,0.7038,0.5882,0.698
15,0.1679251354932785,1.1736577238355363,0.685,0.5773,0.6862
16,0.15887684836983682,1.1731215885707311,0.6938,0.5698,0.6868
